at_request,ts_iso,elapsed_s,metric,value
250,2026-08-27T14:59:56.550+00:00,1059.909,llamacpp:prompt_tokens_seconds,278.066
250,2026-08-27T14:59:56.550+00:00,1059.909,llamacpp:prompt_tokens_total,451935.0
250,2026-08-27T14:59:56.550+00:00,1059.909,llamacpp:requests_deferred,0.0
250,2026-08-27T14:59:56.550+00:00,1059.909,llamacpp:requests_processing,0.0
250,2026-08-27T14:59:56.550+00:00,1059.909,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""0""}",6960.0
250,2026-08-27T14:59:56.550+00:00,1059.909,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""1""}",5758.0
250,2026-08-27T14:59:56.550+00:00,1059.909,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""2""}",4971.0
250,2026-08-27T14:59:56.550+00:00,1059.909,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""3""}",4232.0
250,2026-08-27T14:59:56.550+00:00,1059.909,llamacpp:spec_decode_num_accepted_tokens_total,21921.0
250,2026-08-27T14:59:56.550+00:00,1059.909,llamacpp:spec_decode_num_draft_tokens_total,31076.0
250,2026-08-27T14:59:56.550+00:00,1059.909,llamacpp:spec_decode_num_drafts_total,7769.0
250,2026-08-27T14:59:56.550+00:00,1059.909,llamacpp:tokens_predicted_seconds_total,1941.8
250,2026-08-27T14:59:56.550+00:00,1059.909,llamacpp:tokens_predicted_total,29774.0
300,2026-08-27T15:03:29.645+00:00,1273.003,llamacpp:n_busy_slots_per_decode,1.0
300,2026-08-27T15:03:29.645+00:00,1273.003,llamacpp:n_decode_total,8510.0
300,2026-08-27T15:03:29.645+00:00,1273.003,llamacpp:n_tokens_max,29361.0
300,2026-08-27T15:03:29.645+00:00,1273.003,llamacpp:predicted_tokens_seconds,9.00416
300,2026-08-27T15:03:29.645+00:00,1273.003,llamacpp:prompt_seconds_total,1865.69
300,2026-08-27T15:03:29.645+00:00,1273.003,llamacpp:prompt_tokens_cached_total,1219860.0
300,2026-08-27T15:03:29.645+00:00,1273.003,llamacpp:prompt_tokens_seconds,277.949
300,2026-08-27T15:03:29.645+00:00,1273.003,llamacpp:prompt_tokens_total,464092.0
300,2026-08-27T15:03:29.645+00:00,1273.003,llamacpp:requests_deferred,0.0
300,2026-08-27T15:03:29.645+00:00,1273.003,llamacpp:requests_processing,0.0
300,2026-08-27T15:03:29.645+00:00,1273.003,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""0""}",7010.0
300,2026-08-27T15:03:29.645+00:00,1273.003,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""1""}",5758.0
300,2026-08-27T15:03:29.645+00:00,1273.003,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""2""}",4971.0
300,2026-08-27T15:03:29.645+00:00,1273.003,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""3""}",4232.0
300,2026-08-27T15:03:29.645+00:00,1273.003,llamacpp:spec_decode_num_accepted_tokens_total,21971.0
300,2026-08-27T15:03:29.645+00:00,1273.003,llamacpp:spec_decode_num_draft_tokens_total,31276.0
300,2026-08-27T15:03:29.645+00:00,1273.003,llamacpp:spec_decode_num_drafts_total,7819.0
300,2026-08-27T15:03:29.645+00:00,1273.003,llamacpp:tokens_predicted_seconds_total,1947.35
300,2026-08-27T15:03:29.645+00:00,1273.003,llamacpp:tokens_predicted_total,29874.0
350,2026-08-27T15:07:02.869+00:00,1486.228,llamacpp:n_busy_slots_per_decode,1.0
350,2026-08-27T15:07:02.869+00:00,1486.228,llamacpp:n_decode_total,8610.0
350,2026-08-27T15:07:02.869+00:00,1486.228,llamacpp:n_tokens_max,29361.0
350,2026-08-27T15:07:02.869+00:00,1486.228,llamacpp:predicted_tokens_seconds,9.02394
350,2026-08-27T15:07:02.869+00:00,1486.228,llamacpp:prompt_seconds_total,1909.57
350,2026-08-27T15:07:02.869+00:00,1486.228,llamacpp:prompt_tokens_cached_total,1219860.0
350,2026-08-27T15:07:02.869+00:00,1486.228,llamacpp:prompt_tokens_seconds,278.199
350,2026-08-27T15:07:02.869+00:00,1486.228,llamacpp:prompt_tokens_total,476300.0
350,2026-08-27T15:07:02.869+00:00,1486.228,llamacpp:requests_deferred,0.0
350,2026-08-27T15:07:02.869+00:00,1486.228,llamacpp:requests_processing,0.0
350,2026-08-27T15:07:02.869+00:00,1486.228,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""0""}",7060.0
350,2026-08-27T15:07:02.869+00:00,1486.228,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""1""}",5758.0
350,2026-08-27T15:07:02.869+00:00,1486.228,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""2""}",4971.0
350,2026-08-27T15:07:02.869+00:00,1486.228,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""3""}",4232.0
350,2026-08-27T15:07:02.869+00:00,1486.228,llamacpp:spec_decode_num_accepted_tokens_total,22021.0
350,2026-08-27T15:07:02.869+00:00,1486.228,llamacpp:spec_decode_num_draft_tokens_total,31476.0
350,2026-08-27T15:07:02.869+00:00,1486.228,llamacpp:spec_decode_num_drafts_total,7869.0
350,2026-08-27T15:07:02.869+00:00,1486.228,llamacpp:tokens_predicted_seconds_total,1952.89
350,2026-08-27T15:07:02.869+00:00,1486.228,llamacpp:tokens_predicted_total,29974.0
400,2026-08-27T15:10:36.107+00:00,1699.465,llamacpp:n_busy_slots_per_decode,1.0
400,2026-08-27T15:10:36.107+00:00,1699.465,llamacpp:n_decode_total,8710.0
400,2026-08-27T15:10:36.107+00:00,1699.465,llamacpp:n_tokens_max,29361.0
400,2026-08-27T15:10:36.107+00:00,1699.465,llamacpp:predicted_tokens_seconds,9.05375
400,2026-08-27T15:10:36.107+00:00,1699.465,llamacpp:prompt_seconds_total,1953.36
400,2026-08-27T15:10:36.107+00:00,1699.465,llamacpp:prompt_tokens_cached_total,1219860.0
400,2026-08-27T15:10:36.107+00:00,1699.465,llamacpp:prompt_tokens_seconds,278.948
400,2026-08-27T15:10:36.107+00:00,1699.465,llamacpp:prompt_tokens_total,488515.0
400,2026-08-27T15:10:36.107+00:00,1699.465,llamacpp:requests_deferred,0.0
400,2026-08-27T15:10:36.107+00:00,1699.465,llamacpp:requests_processing,0.0
400,2026-08-27T15:10:36.107+00:00,1699.465,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""0""}",7110.0
400,2026-08-27T15:10:36.107+00:00,1699.465,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""1""}",5758.0
400,2026-08-27T15:10:36.107+00:00,1699.465,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""2""}",4971.0
400,2026-08-27T15:10:36.107+00:00,1699.465,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""3""}",4232.0
400,2026-08-27T15:10:36.107+00:00,1699.465,llamacpp:spec_decode_num_accepted_tokens_total,22071.0
400,2026-08-27T15:10:36.107+00:00,1699.465,llamacpp:spec_decode_num_draft_tokens_total,31676.0
400,2026-08-27T15:10:36.107+00:00,1699.465,llamacpp:spec_decode_num_drafts_total,7919.0
400,2026-08-27T15:10:36.107+00:00,1699.465,llamacpp:tokens_predicted_seconds_total,1958.41
400,2026-08-27T15:10:36.107+00:00,1699.465,llamacpp:tokens_predicted_total,30074.0
450,2026-08-27T15:14:09.384+00:00,1912.743,llamacpp:n_busy_slots_per_decode,1.0
450,2026-08-27T15:14:09.384+00:00,1912.743,llamacpp:n_decode_total,8810.0
450,2026-08-27T15:14:09.384+00:00,1912.743,llamacpp:n_tokens_max,29361.0
450,2026-08-27T15:14:09.384+00:00,1912.743,llamacpp:predicted_tokens_seconds,9.01849
450,2026-08-27T15:14:09.384+00:00,1912.743,llamacpp:prompt_seconds_total,1997.24
450,2026-08-27T15:14:09.384+00:00,1912.743,llamacpp:prompt_tokens_cached_total,1219860.0
450,2026-08-27T15:14:09.384+00:00,1912.743,llamacpp:prompt_tokens_seconds,279.27
450,2026-08-27T15:14:09.384+00:00,1912.743,llamacpp:prompt_tokens_total,500770.0
450,2026-08-27T15:14:09.384+00:00,1912.743,llamacpp:requests_deferred,0.0
450,2026-08-27T15:14:09.384+00:00,1912.743,llamacpp:requests_processing,0.0
450,2026-08-27T15:14:09.384+00:00,1912.743,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""0""}",7160.0
450,2026-08-27T15:14:09.384+00:00,1912.743,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""1""}",5758.0
450,2026-08-27T15:14:09.384+00:00,1912.743,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""2""}",4971.0
450,2026-08-27T15:14:09.384+00:00,1912.743,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""3""}",4232.0
450,2026-08-27T15:14:09.384+00:00,1912.743,llamacpp:spec_decode_num_accepted_tokens_total,22121.0
450,2026-08-27T15:14:09.384+00:00,1912.743,llamacpp:spec_decode_num_draft_tokens_total,31876.0
450,2026-08-27T15:14:09.384+00:00,1912.743,llamacpp:spec_decode_num_drafts_total,7969.0
450,2026-08-27T15:14:09.384+00:00,1912.743,llamacpp:tokens_predicted_seconds_total,1963.96
450,2026-08-27T15:14:09.384+00:00,1912.743,llamacpp:tokens_predicted_total,30174.0
500,2026-08-27T15:17:43.880+00:00,2127.239,llamacpp:n_busy_slots_per_decode,1.0
500,2026-08-27T15:17:43.880+00:00,2127.239,llamacpp:n_decode_total,8910.0
500,2026-08-27T15:17:43.880+00:00,2127.239,llamacpp:n_tokens_max,29361.0
500,2026-08-27T15:17:43.880+00:00,2127.239,llamacpp:predicted_tokens_seconds,8.96347
500,2026-08-27T15:17:43.880+00:00,2127.239,llamacpp:prompt_seconds_total,2041.66
500,2026-08-27T15:17:43.880+00:00,2127.239,llamacpp:prompt_tokens_cached_total,1219860.0
500,2026-08-27T15:17:43.880+00:00,2127.239,llamacpp:prompt_tokens_seconds,275.696
